Code,AccSet,Item,UOM,Qty,Comment,Sequencer,AccSetName,TemplateName
MEAT00813,CHIL,HAM CHAMPAGNE B/L *WHOLE** [**PER KG**] [HCP] (FARMLAND),KG,1,,6,CHILLED,Import Data
MEAT0590,CHIL,BEEF ROAST SLICED COOKED 1KG (FARMLAND),PKT,1,,3,CHILLED,Import Data
MEAT0643,CHIL,BEEF CORNED SILVERSIDE SLICED 1KG (FARMLAND) (PER PKT),PKT,1,,13,CHILLED,Import Data
MEAT361,CHIL,HAM DICED 1KG (HOBSONS),PKT,1,,5,CHILLED,Import Data
MEATF02610,CHILMT,BEEF CORN SILVERSIDE RAW (2.5-3.5KG) (PER KG) - [FSHMT],KG,1,,2,FRESH MEAT,Import Data
MEATF03613,CHILMT,BEEF BLADE STEAK - PORTION CUT 120GM (PER KG) - [FSHMT],KG,1,,0,FRESH MEAT,Import Data
MEATF1190,CHILMT,LAMB LIVERS/FRY (PER KG) - [FSHMT],KG,1,,8,FRESH MEAT,Import Data
MEATF2205,CHILMT,PORK PICKLED (48HR NOTICE REQ) (PER KG) - [FSHMT],KG,1,,9,FRESH MEAT,Import Data
MEATSV0001,CHIL,BEEF BOLAR ROAST SOUS VIDE *PER KG* (CHEF READY) [CHIL],KG,1,,1,CHILLED,Import Data
MEATSV0100,CHIL,LAMB LEG ROAST B/L SOUS VIDE *PER KG* (CHEF READY) [CHIL],KG,1,,7,CHILLED,Import Data
POF200B,CHILMT,CHICKEN THIGH S/ON B/L 130-165GM 10'S/PER VP (RYMAN)(PER KG),KG,1,,12,FRESH MEAT,Import Data
POF2010,CHILMT,CHICKEN BREAST B/L S/L(130-165G) 10'S/PER VP (PER KG)(RYMAN),KG,1,,10,FRESH MEAT,Import Data
POF201C,CHILMT,CHICKEN THIGH S/L B/L 130-165GM 10'S/PER VP (RYMAN)(PER KG),KG,1,,11,FRESH MEAT,Import Data
POF388,CHIL,CHICKEN BREAST MANUKA SMOKED 1KG FSH (TEGEL 940974) [CHIL],PKT,1,,4,CHILLED,Import Data
